                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.9952,                 2.1855,                 1.8479,                0.38638,                0.12834,                0.09471,                0.04332,                 1.9629,                 2.3339,                 1.9313,               0.001177,               0.001177,               0.001177
                     61,                 1.9479,                 2.1688,                 1.8763,                0.39985,                0.15221,                0.11147,                0.05281,                 1.8624,                 2.2039,                 1.8422,              0.0011757,              0.0011757,              0.0011757
                     62,                 1.9438,                 2.1718,                 1.8505,                 0.3659,                0.15185,                0.09836,                0.04547,                  1.921,                 2.3061,                 1.8798,              0.0011745,              0.0011745,              0.0011745
                     63,                 1.9724,                 2.2268,                 1.8733,                0.14475,                0.15046,                 0.1037,                0.05071,                 1.8918,                 2.2257,                 1.8896,              0.0011733,              0.0011733,              0.0011733
                     64,                 1.9235,                 2.1725,                  1.857,                0.13977,                0.18828,                0.11964,                0.05772,                 1.8352,                 2.1504,                 1.8548,               0.001172,               0.001172,               0.001172
                     65,                 1.9597,                   2.13,                 1.8154,                0.15052,                0.14618,                0.11358,                0.05213,                 1.8882,                 2.2702,                 1.8631,              0.0011708,              0.0011708,              0.0011708
                     66,                 1.8968,                 2.1526,                 1.8105,                0.40284,                0.16377,                 0.1134,                0.05361,                 1.8702,                 2.2531,                 1.8325,              0.0011696,              0.0011696,              0.0011696
                     67,                  1.921,                 2.1634,                 1.8291,                0.17561,                 0.1579,                0.11578,                0.05296,                 1.9094,                 2.3645,                 1.8635,              0.0011683,              0.0011683,              0.0011683
                     68,                  1.918,                 2.1476,                 1.8177,                0.37982,                0.15391,                0.11047,                0.05402,                 1.8856,                 2.2973,                 1.8447,              0.0011671,              0.0011671,              0.0011671
                     69,                 1.9069,                 2.1538,                 1.7888,                0.16324,                0.16072,                 0.1279,                0.06244,                 1.8202,                 2.1866,                 1.8253,              0.0011658,              0.0011658,              0.0011658
                     70,                 1.8473,                 2.0279,                 1.7603,                0.44421,                0.18989,                0.12772,                0.06068,                  1.833,                 2.2243,                 1.8205,              0.0011646,              0.0011646,              0.0011646
                     71,                 1.8981,                  2.098,                 1.7984,                0.17101,                0.15455,                 0.1268,                 0.0664,                   1.78,                 2.1719,                 1.8134,              0.0011634,              0.0011634,              0.0011634
                     72,                 1.9155,                 2.0885,                 1.8118,                0.40831,                0.14343,                0.11451,                0.05757,                 1.8402,                 2.2558,                 1.8322,              0.0011621,              0.0011621,              0.0011621
                     73,                 1.8938,                 2.0322,                 1.8076,                0.21032,                0.18151,                0.13894,                0.07059,                 1.7898,                 2.2293,                 1.7883,              0.0011609,              0.0011609,              0.0011609
                     74,                 1.8807,                 2.0727,                 1.7444,                0.43202,                0.17971,                0.14757,                0.07538,                 1.7881,                 2.0909,                  1.778,              0.0011597,              0.0011597,              0.0011597
                     75,                 1.9159,                 2.0758,                 1.8135,                0.16073,                0.16287,                0.11979,                0.05804,                  1.888,                 2.1126,                 1.8296,              0.0011584,              0.0011584,              0.0011584
                     76,                 1.8726,                 2.0778,                 1.7924,                0.41373,                0.17509,                0.13958,                0.06466,                 1.8064,                  2.226,                  1.804,              0.0011572,              0.0011572,              0.0011572
